OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,218790,273226,185515,145922,101058
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,174266,283972,189988,145153,109179
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,245773,301257,202193,164697,107888
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,217897,272795,184321,148195,89989
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,250078,356247,226769,181582,117120
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,207516,276332,176361,142331,103476
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,215109,287960,189411,151494,106086
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,182740,254094,155848,124407,89193
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,213182,266762,180178,141873,98481
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,175161,287091,190598,145558,110017
